#Node1	Node2	weight
P10275	P08107	0.75
P10275	P31749	0.75
P10275	O75925	0.75
P10275	O95425	0.75
P10275	Q12778	0.75
P10275	P63244	0.75
P10275	P62136	0.75
P10275	P19838	0.426525
P10275	P05412	0.75
P10275	P11021	0.75
P10275	P84022	0.75
P10275	P17844	0.75
P10275	P27986	0.75
P10275	P12956	0.75
P10275	P35222	0.75
P10275	Q13485	0.426525
P10275	Q8N2W9	0.75
P10275	Q15797	0.75
P10275	P15923	0.543131
P10275	P04792	0.75
P10275	P15884	0.75
P10275	P49841	0.75
P25054	P31947	0.75
P25054	Q9UJU2	0.5556300000000001
P25054	Q13363	0.75
P25054	P48729	0.426525
P25054	O14640	0.75
P25054	Q9Y2T1	0.75
P25054	P63104	0.75
P25054	Q13418	0.75
P25054	P14923	0.75
P25054	O14641	0.75
P25054	Q92997	0.35629099999999997
P25054	Q9Y297	0.75
P25054	Q15047	0.426525
P25054	P49841	0.75
P25054	P49840	0.426525
P25054	P11021	0.426525
P25054	P35222	0.75
P25054	O15169	0.75
Q09472	Q9UJU2	0.35629099999999997
Q09472	Q9NQB0	0.75
Q09472	P10275	0.75
Q09472	P12757	0.75
Q09472	P37231	0.75
Q09472	P05412	0.543131
Q09472	P84022	0.75
Q09472	P17844	0.426525
Q09472	P35222	0.75
Q09472	O15105	0.75
Q09472	P15923	0.35629099999999997
Q09472	P00519	0.75
Q09472	Q15797	0.75
Q09472	Q15796	0.75
Q09472	Q9Y3F4	0.75
Q09472	P01106	0.75
Q09472	Q9H160	0.75
Q09472	P15884	0.75
P62979	O75581	0.543131
P62979	P62987	0.75
P62979	P31749	0.36467
P62979	P58335	0.543131
P62979	P36897	0.658416
P62979	P13569	0.426525
P62979	P55036	0.594141
P62979	Q13485	0.658416
P62979	Q15797	0.658416
P62979	Q15796	0.75
P62979	P01106	0.5556300000000001
Q9NRR5	Q13526	0.75
Q9NRR5	Q06455	0.75
Q9NRR5	Q9NYG2	0.717303
Q9NRR5	O75084	0.75
Q9NRR5	O15198	0.717303
Q9NRR5	Q9UMX0	0.75
P23470	P19022	0.75
P23470	P35222	0.75
P37231	Q15047	0.75
P37231	O95425	0.426525
P37231	Q09472	0.75
P37231	Q9P2D1	0.75
P31751	Q15047	0.426525
P31751	P62136	0.656746
P31751	P19838	0.75
P31751	P35222	0.75
P31751	Q12778	0.75
P31751	P05412	0.75
P31751	P49841	0.75
P31751	P49840	0.75
Q15797	Q9HAU4	0.75
Q15797	O75925	0.717303
Q15797	O14686	0.717303
Q15797	P62987	0.658416
Q15797	P22670	0.717303
Q15797	P62979	0.658416
Q15797	Q9Y2U8	0.717303
Q15797	Q04721	0.717303
Q15797	O75533	0.717303
Q15797	P08621	0.717303
Q15797	P46937	0.75
Q15797	Q09472	0.75
Q15797	Q5T5Y3	0.717303
Q15797	Q9NYG2	0.717303
Q15797	Q8NAM6	0.717303
Q15797	Q9UNY4	0.717303
Q15797	O14640	0.75
Q15797	Q13485	0.75
Q15797	P10275	0.75
Q15797	Q8N2W9	0.717303
Q15797	Q92905	0.426525
Q15797	Q9H160	0.658416
Q15797	O60315	0.717303
Q5T5Y3	Q15797	0.717303
Q5T5Y3	P12757	0.717303
Q5T5Y3	O15198	0.717303
P15923	Q09472	0.35629099999999997
P15923	P55036	0.75
P15923	P10275	0.543131
P15923	Q06455	0.75
Q06455	P15923	0.75
Q06455	Q9NRR5	0.75
Q06455	P15884	0.75
P31947	P31749	0.658416
P31947	Q12778	0.426525
P31947	P61981	0.75
P31947	P25054	0.75
P31947	P63104	0.75
P31947	Q8TEW0	0.75
P31947	P00519	0.75
P50402	P13569	0.75
P50402	P35222	0.75
Q16620	P19022	0.75
Q16620	P00519	0.35629099999999997
Q16620	P35222	0.75
Q99750	Q13526	0.717303
Q99750	O00144	0.717303
Q99750	O94907	0.717303
P11021	P08107	0.75
P11021	P19838	0.75
P11021	P10275	0.75
P11021	P25054	0.426525
P11021	P13569	0.75
P11021	P12956	0.75
P11021	Q92597	0.75
P11021	P63104	0.75
P11021	O43318	0.426525
P12830	P08107	0.426525
P12830	Q92597	0.75
P12830	P14923	0.543131
P12830	P13569	0.75
P12830	P62136	0.75
P12830	O60315	0.56175
P12830	P35222	0.75
Q9HAU4	O15105	0.75
Q9HAU4	P12757	0.75
Q9HAU4	P08621	0.717303
Q9HAU4	P84022	0.75
Q9HAU4	P36897	0.75
Q9HAU4	O14640	0.426525
Q9HAU4	P98082	0.717303
Q9HAU4	Q15797	0.75
Q9HAU4	Q15796	0.75
Q9HAU4	Q9H160	0.658416
P19838	P08107	0.75
P19838	P05412	0.75
P19838	P08670	0.75
P19838	P10275	0.426525
P19838	P49841	0.75
P19838	P11021	0.75
P19838	P35222	0.75
Q13363	P25054	0.75
Q13363	Q9UJU2	0.505993
Q13363	P15884	0.426525
Q13363	P35222	0.543131
Q13363	Q9NQB0	0.75
Q13363	Q9H307	0.75
Q13363	P61968	0.75
P42336	P31749	0.75
P42336	P27986	0.75
P42336	P31751	0.75
P42336	P49841	0.75
P42336	P35222	0.75
Q13469	Q13526	0.426525
Q13469	P05412	0.75
Q13469	P48729	0.75
Q13469	P08670	0.706548
P13569	P08107	0.75
P13569	O95425	0.75
P13569	P63244	0.75
P13569	P62979	0.426525
P13569	O14745	0.75
P13569	Q92905	0.75
P13569	P50402	0.75
P13569	P12830	0.75
P13569	P98082	0.75
P13569	P04792	0.75
P13569	P34925	0.75
P13569	P11021	0.75
P08621	O15198	0.717303
P08621	Q9HAU4	0.717303
P08621	Q15797	0.717303
P08621	Q15796	0.717303
P08621	P12757	0.717303
P08621	Q13485	0.717303
P08621	P49841	0.75
P08621	P84022	0.717303
P61981	P08107	0.75
P61981	Q12778	0.75
P61981	P48729	0.426525
P61981	Q8TEW0	0.75
P61981	P08670	0.75
P61981	P46937	0.75
P61981	P63104	0.435475
P61981	P27986	0.75
P61981	O75533	0.75
P61981	Q9H307	0.75
P61981	Q07954	0.75
P61981	P17844	0.75
P61981	P31947	0.75
P61981	Q92597	0.75
P61981	P00519	0.75
P61981	Q92905	0.426525
P61981	P49840	0.75
Q01974	O43318	0.543131
Q01974	O14640	0.426525
Q01974	O14641	0.426525
Q01974	Q92997	0.426525
Q15047	P31749	0.75
Q15047	P12757	0.717303
Q15047	P08670	0.717303
Q15047	P37231	0.75
Q15047	P25054	0.426525
Q15047	P31751	0.426525
Q15047	Q9P2D1	0.75
Q05209	P19022	0.75
Q05209	Q13526	0.426525
Q05209	P35222	0.75
O75581	O75084	0.35629099999999997
O75581	Q9Y4X0	0.75
O75581	P62979	0.543131
O75581	P19022	0.75
O75581	O00144	0.35629099999999997
O75581	P58335	0.75
O75581	P62987	0.543131
O75581	P98082	0.75
O75581	P49841	0.426525
O75581	O15169	0.75
O95425	P37231	0.426525
O95425	P10275	0.75
O95425	P13569	0.75
P12757	Q07954	0.717303
P12757	Q8N2W9	0.717303
P12757	Q15047	0.717303
P12757	Q9HAU4	0.75
P12757	Q15796	0.75
P12757	Q5T5Y3	0.717303
P12757	Q9H160	0.75
P12757	O75925	0.717303
P12757	Q9UNY4	0.717303
P12757	P08621	0.717303
P12757	Q13485	0.75
P12757	O43318	0.75
P12757	P12956	0.717303
P12757	Q09472	0.75
P12757	P84022	0.75
P27986	P31749	0.75
P27986	P42336	0.75
P27986	P61981	0.75
P27986	P31751	0.75
P27986	P63104	0.75
P27986	P36897	0.75
P27986	P35222	0.543131
P27986	P98082	0.75
P27986	P00519	0.75
P27986	P49841	0.75
P00519	P08107	0.426525
P00519	P15941	0.75
P00519	P31947	0.75
P00519	P01106	0.656746
P00519	P63244	0.426525
P00519	P61981	0.75
P00519	P63104	0.75
P00519	P27986	0.75
P00519	P05412	0.75
P00519	Q16620	0.35629099999999997
P00519	P46937	0.426525
P00519	Q09472	0.75
P00519	P35222	0.75
P00519	P12956	0.426525
Q12913	P19022	0.75
Q12913	P14923	0.5556300000000001
Q12913	P35222	0.75
P62987	P31749	0.36467
P62987	O75581	0.543131
P62987	P62979	0.75
P62987	P36897	0.658416
P62987	P58335	0.543131
P62987	Q13485	0.658416
P62987	Q15797	0.658416
P62987	Q15796	0.75
P62987	P01106	0.5556300000000001
P62987	Q9UMX0	0.426525
P17844	Q92597	0.75
P17844	P10275	0.75
P17844	P35222	0.543131
P17844	O43318	0.426525
P17844	P61981	0.75
P17844	P49841	0.75
P17844	P84022	0.75
P63104	P31749	0.75
P63104	Q92905	0.426525
P63104	P27986	0.75
P63104	P61981	0.435475
P63104	P11021	0.75
P63104	Q16827	0.251739
P63104	P36897	0.75
P63104	P35222	0.75
P63104	P49841	0.75
P63104	P31947	0.75
P63104	Q12778	0.75
P63104	P48729	0.426525
P63104	P08670	0.75
P63104	P25054	0.75
P63104	P04792	0.75
P63104	O75533	0.75
P63104	Q8TEW0	0.75
P63104	P46937	0.75
P63104	Q9H307	0.75
P63104	P08107	0.75
P63104	P12956	0.706548
P63104	P00519	0.75
P98082	P36897	0.75
P98082	Q13526	0.426525
P98082	Q9HAU4	0.717303
P98082	Q15796	0.75
P98082	O75581	0.75
P98082	P13569	0.75
P98082	Q92997	0.75
P98082	O43318	0.75
P98082	P27986	0.75
P98082	P84022	0.75
P98082	O15169	0.75
O43318	P08107	0.426525
O43318	P19838	0.75
O43318	Q01974	0.543131
O43318	P12757	0.75
O43318	P17844	0.426525
O43318	O15105	0.75
O43318	P98082	0.75
O43318	Q92905	0.426525
O43318	P11021	0.426525
Q92905	P63244	0.426525
Q92905	P61981	0.426525
Q92905	P63104	0.426525
Q92905	P13569	0.75
Q92905	Q13485	0.75
Q92905	P05412	0.426525
Q92905	O43318	0.426525
Q92905	O15105	0.75
Q92905	Q15797	0.426525
Q92905	Q15796	0.717303
Q92905	P01106	0.426525
P46937	P36897	0.505993
P46937	Q15797	0.75
P46937	Q15796	0.75
P46937	P63104	0.75
P46937	O15105	0.75
P46937	Q9UJU2	0.39125
P46937	Q9NQB0	0.39125
P46937	Q13485	0.39125
P46937	P00519	0.426525
P46937	O14745	0.426525
P46937	P61981	0.75
P46937	P84022	0.75
P58335	P62979	0.543131
P58335	P62987	0.543131
P58335	Q15796	0.717303
P58335	O75581	0.75
Q13485	O14640	0.75
Q13485	P05412	0.75
Q13485	Q12778	0.75
Q13485	Q9UJU2	0.75
Q13485	P62987	0.658416
Q13485	P22670	0.717303
Q13485	P10275	0.426525
Q13485	Q9Y297	0.75
Q13485	O15198	0.75
Q13485	P12757	0.75
Q13485	Q8TEW0	0.75
Q13485	P08621	0.717303
Q13485	P46937	0.39125
Q13485	P84022	0.75
Q13485	Q09472	0.75
Q13485	P62979	0.658416
Q13485	P35222	0.75
Q13485	Q92905	0.75
Q13485	Q15797	0.75
Q13485	Q15796	0.75
Q13485	P01106	0.543131
Q13485	Q9NQB0	0.536564
Q16827	P19022	0.75
Q16827	P35222	0.75
Q16827	P63104	0.251739
P31749	P19838	0.75
P31749	P31947	0.658416
P31749	Q12778	0.75
P31749	P62987	0.36467
P31749	P62979	0.36467
P31749	P10275	0.75
P31749	P62136	0.75
P31749	P84022	0.426525
P31749	P63104	0.75
P31749	P05412	0.75
P31749	Q09472	0.75
P31749	P35222	0.75
P31749	O14641	0.426525
P31749	Q15047	0.75
P31749	P49840	0.75
P31749	P49841	0.75
P31749	O14640	0.75
P31749	O15169	0.75
Q8NAM6	Q15797	0.717303
Q8NAM6	O15198	0.717303
O94907	O75581	0.75
O94907	Q99750	0.717303
O94907	O15198	0.717303
O94907	P35222	0.543131
O94907	O75197	0.75
P08670	P61981	0.75
P08670	P19838	0.75
P08670	P63104	0.75
P08670	P84022	0.75
P08670	Q13469	0.706548
P08670	Q8N2W9	0.717303
P08670	Q15047	0.717303
P08670	P49841	0.251739
Q92837	P49841	0.75
Q92837	O14641	0.35629099999999997
Q92837	O14640	0.75
Q92837	O75197	0.75
Q92837	Q92997	0.75
Q92837	O15169	0.75
Q9Y3F4	P36897	0.75
Q9Y3F4	Q09472	0.75
Q9Y3F4	Q15796	0.75
Q9Y3F4	O15105	0.75
Q9Y3F4	P49841	0.75
Q9Y3F4	P84022	0.75
P14923	P19022	0.75
P14923	Q9Y297	0.426525
P14923	P25054	0.75
P14923	P12830	0.543131
P14923	Q9UJU2	0.75
P14923	P15884	0.426525
P14923	P35222	0.75
P14923	Q9NQB0	0.75
P14923	Q12913	0.5556300000000001
O60315	P12830	0.56175
O60315	Q15797	0.717303
O60315	Q15796	0.75
O60315	O15198	0.717303
O60315	P84022	0.75
Q9UNY4	O15105	0.717303
Q9UNY4	Q15797	0.717303
Q9UNY4	P12757	0.717303
P84022	P10275	0.75
P84022	Q9HAU4	0.75
P84022	Q9UJU2	0.75
P84022	Q9NQB0	0.426525
P84022	Q12778	0.75
P84022	P08670	0.75
P84022	Q13526	0.5556300000000001
P84022	Q9Y297	0.75
P84022	Q9Y2U8	0.435475
P84022	P12757	0.75
P84022	Q8TEW0	0.75
P84022	P08621	0.717303
P84022	P46937	0.39125
P84022	Q09472	0.75
P84022	Q9Y2T1	0.75
P84022	P17844	0.75
P84022	P12956	0.717303
P84022	O14640	0.75
P84022	Q13485	0.75
P84022	P05412	0.75
P84022	P98082	0.75
P84022	P35222	0.75
P84022	Q9Y3F4	0.75
P84022	P01106	0.75
P84022	O60315	0.75
P84022	Q15797	0.75
P84022	Q15796	0.75
P84022	O15169	0.75
Q04721	Q15797	0.717303
Q04721	P49841	0.75
P01106	P08575	0.426525
P01106	Q01973	0.426525
P01106	P62979	0.5556300000000001
P01106	O75533	0.426525
P01106	Q13526	0.36467
P01106	P62136	0.435475
P01106	Q09472	0.75
P01106	P55036	0.435475
P01106	O14640	0.426525
P01106	Q9UMX0	0.426525
P01106	Q9UJU2	0.426525
P01106	P62987	0.5556300000000001
P01106	P04792	0.435475
P01106	Q9Y4X0	0.426525
P01106	Q15796	0.75
P01106	P23470	0.426525
P01106	Q9NQB0	0.543131
P01106	P12757	0.426525
P01106	P84022	0.75
P01106	P05412	0.426525
P01106	Q9UNY4	0.426525
P01106	P12956	0.75
P01106	Q13485	0.543131
P01106	O60315	0.426525
P01106	P11021	0.426525
Q9H160	Q09472	0.75
Q9H160	Q9HAU4	0.658416
Q9H160	Q15797	0.658416
Q9H160	Q15796	0.75
Q9H160	P01106	0.426525
Q9H160	P12757	0.75
O75925	P10275	0.75
O75925	Q15797	0.717303
O75925	P12757	0.717303
O75925	Q13485	0.75
O75925	O15105	0.717303
O75925	P46937	0.426525
O75925	P84022	0.426525
P19022	P08575	0.75
P19022	Q05209	0.75
P19022	Q16827	0.75
P19022	O75581	0.75
P19022	P14923	0.75
P19022	P35222	0.75
P19022	O75197	0.75
P19022	Q12913	0.75
P19022	Q16620	0.75
P19022	P23470	0.75
P19022	O15169	0.75
Q9Y4X0	Q9Y2T1	0.75
Q9Y4X0	O75581	0.75
Q9Y4X0	P49841	0.75
Q9Y4X0	O15169	0.36467
P08107	P19838	0.75
P08107	P61981	0.75
P08107	P10275	0.75
P08107	P63104	0.75
P08107	P12830	0.426525
P08107	O43318	0.426525
P08107	P13569	0.75
P08107	P12956	0.75
P08107	P49841	0.5556300000000001
P08107	P11021	0.75
O14745	P13569	0.75
O14745	P46937	0.426525
O14745	P35222	0.75
P49841	P08107	0.5556300000000001
P49841	P15941	0.75
P49841	O15169	0.75
P49841	Q01974	0.75
P49841	P48729	0.426525
P49841	P08670	0.251739
P49841	Q9Y297	0.75
P49841	P25054	0.75
P49841	P19838	0.75
P49841	O75533	0.75
P49841	Q13469	0.75
P49841	P08621	0.75
P49841	P63104	0.75
P49841	P05412	0.606445
P49841	Q9Y2T1	0.75
P49841	Q9Y4X0	0.75
P49841	Q13418	0.75
P49841	P17844	0.75
P49841	Q15796	0.543131
P49841	Q92837	0.75
P49841	P10275	0.75
P49841	P35222	0.75
P49841	Q9Y3F4	0.75
P49841	P01106	0.75
P49841	P49840	0.75
P49841	Q04721	0.75
