#Node1	Node2	weight
P61088	Q12933	0.75
P61088	Q13049	0.75
P61088	P21580	0.49229300000000004
P61088	Q14164	0.41388500000000006
P61088	O15111	0.568782
P61088	Q13546	0.568782
Q93009	Q13114	0.75
Q93009	Q9Y6K9	0.75
Q93009	Q12933	0.75
Q93009	Q9BYM8	0.28041900000000003
Q93009	P78347	0.710749
Q93009	Q01201	0.75
Q93009	P10275	0.75
Q93009	Q9GZU2	0.75
Q93009	P41182	0.311133
Q93009	O75530	0.75
Q93009	P52597	0.201461
Q93009	Q9Y230	0.75
Q93009	P05412	0.41388500000000006
Q93009	P29590	0.75
Q93009	P06400	0.75
Q93009	Q16543	0.201461
Q93009	P33992	0.710749
Q93009	P54253	0.75
Q93009	Q04206	0.75
Q93009	Q13547	0.522075
Q93009	P01106	0.75
Q93009	Q9UER7	0.75
Q93009	P40763	0.522075
Q93009	Q99836	0.75
Q93009	Q9Y4K3	0.75
Q93009	Q92905	0.311133
P43364	Q9Y2S0	0.473922
P43364	P10275	0.75
P43364	Q6ZU52	0.75
P43364	P06400	0.311133
P43364	Q09472	0.75
P43364	Q05516	0.75
Q9H9Y6	P62875	0.201461
Q9H9Y6	P52434	0.697741
Q9H9Y6	Q15653	0.75
Q9H9Y6	O15160	0.697741
Q9H9Y6	O95602	0.75
Q9H9Y6	P62993	0.75
Q9H9Y6	O00159	0.75
Q9H9Y6	Q9GZS1	0.473922
Q9H9Y6	P32121	0.710749
Q9H9Y6	P27986	0.75
Q9H9Y6	Q9Y2S0	0.473922
Q16543	Q13114	0.181552
Q16543	P31749	0.75
Q16543	Q12933	0.181552
Q16543	P10275	0.75
Q16543	P11142	0.311133
Q16543	O15111	0.75
Q16543	Q9Y4K3	0.75
Q16543	Q13546	0.5078060000000001
Q16543	Q9Y6K9	0.75
Q16543	Q93009	0.201461
Q16543	P12931	0.49229300000000004
Q16543	P51617	0.75
Q16543	Q14164	0.75
Q16543	Q9GZS1	0.75
Q16543	O14920	0.75
Q16543	P05412	0.41388500000000006
Q16543	P63279	0.568782
Q16543	P06241	0.5078060000000001
P52434	Q9Y2S0	0.473922
P52434	Q9Y4K3	0.75
P52434	P62875	0.75
P52434	P03372	0.666441
P52434	Q9H9Y6	0.697741
P52434	P12931	0.666441
P52434	O95602	0.75
P52434	Q14164	0.75
P52434	Q9Y230	0.311133
P52434	Q15653	0.75
P52434	O15160	0.697741
Q14164	Q12933	0.75
Q14164	P11142	0.75
Q14164	P61088	0.41388500000000006
Q14164	Q04206	0.75
Q14164	O15111	0.75
Q14164	Q00653	0.6795
Q14164	Q9Y4K3	0.348804
Q14164	P07910	0.75
Q14164	P62993	0.75
Q14164	P25963	0.75
Q14164	P29590	0.666441
Q14164	Q92922	0.75
Q14164	P38646	0.75
Q14164	Q16543	0.75
Q14164	P51532	0.75
Q14164	Q9Y230	0.75
Q14164	Q9Y6K9	0.75
Q14164	O14920	0.75
Q14164	P03372	0.75
Q14164	Q92769	0.75
Q14164	P62263	0.75
Q14164	P52434	0.75
Q14164	P63279	0.75
Q14164	Q99836	0.311133
Q9BRK4	P62993	0.608042
Q9BRK4	Q12933	0.75
Q9BRK4	O14980	0.311133
Q9BRK4	P33993	0.41388500000000006
Q9BRK4	Q15834	0.75
Q9BRK4	O15160	0.608042
Q13546	Q13114	0.75
Q13546	Q9Y4K3	0.75
Q13546	Q9NYJ8	0.75
Q13546	Q9Y6K9	0.75
Q13546	Q05397	0.75
Q13546	P25963	0.75
Q13546	O14920	0.75
Q13546	Q15750	0.75
Q13546	P19838	0.75
Q13546	P21580	0.75
Q13546	P11142	0.75
Q13546	Q16543	0.5078060000000001
Q13546	P20333	0.311133
Q13546	Q15628	0.75
Q13546	Q9UER7	0.49229300000000004
Q13546	P38646	0.75
Q13546	Q04206	0.75
Q13546	P31689	0.75
Q13546	O14980	0.311133
Q13546	O15111	0.75
Q13546	Q00653	0.75
Q13546	Q9Y6Q6	0.75
Q12824	P31749	0.75
Q12824	O14497	0.75
Q12824	P42224	0.522075
Q12824	Q01201	0.75
Q12824	Q92793	0.536469
Q12824	Q9NRR5	0.75
Q12824	Q92769	0.201461
Q12824	Q92785	0.75
Q12824	P05412	0.75
Q12824	O14980	0.75
Q12824	P06400	0.473922
Q12824	Q92922	0.75
Q12824	Q92905	0.311133
Q12824	P51532	0.75
Q12824	Q13547	0.201461
Q12824	P01106	0.75
Q12824	Q8TAQ2	0.75
Q12824	Q969G3	0.75
Q96RU7	P31749	0.75
Q96RU7	P52597	0.181552
Q96RU7	Q04206	0.75
Q96RU7	P41182	0.75
Q96RU7	P28799	0.641285
O14920	Q9BYH8	0.473922
O14920	P25963	0.75
O14920	Q9Y6K9	0.75
O14920	P23396	0.75
O14920	P32121	0.348804
O14920	Q9BYM8	0.75
O14920	P19438	0.75
O14920	Q01201	0.674374
O14920	Q92793	0.75
O14920	P19838	0.75
O14920	P21580	0.75
O14920	P78527	0.568782
O14920	P51617	0.710749
O14920	P05412	0.568782
O14920	P11142	0.75
O14920	Q16543	0.75
O14920	Q92922	0.75
O14920	Q15628	0.75
O14920	P38646	0.75
O14920	Q04206	0.75
O14920	O15111	0.75
O14920	Q92905	0.75
O14920	Q15653	0.75
O14920	P40763	0.41388500000000006
O14920	Q00653	0.75
O14920	Q9Y6Q6	0.75
O14920	Q04864	0.75
Q9GZS1	Q9BYM8	0.473922
Q9GZS1	Q9Y2S0	0.473922
Q9GZS1	Q9Y6K9	0.311133
Q9GZS1	Q15653	0.75
Q9GZS1	Q16543	0.75
Q9GZS1	P26196	0.75
Q9GZS1	O15160	0.75
Q9GZS1	Q9H9Y6	0.473922
Q9GZS1	O95602	0.75
Q9GZS1	O00159	0.75
P38646	P31749	0.311133
P38646	Q9Y4K3	0.75
P38646	P25963	0.75
P38646	O14920	0.75
P38646	Q12933	0.75
P38646	P62993	0.311133
P38646	P19438	0.75
P38646	Q15750	0.75
P38646	Q9Y6K9	0.75
P38646	P19838	0.75
P38646	P03372	0.311133
P38646	O75530	0.311133
P38646	P05412	0.41388500000000006
P38646	O14980	0.28041900000000003
P38646	P11142	0.201461
P38646	Q14164	0.75
P38646	Q04864	0.75
P38646	Q9NYJ8	0.75
P38646	P20333	0.75
P38646	Q01201	0.75
P38646	P33992	0.311133
P38646	Q04206	0.473922
P38646	P31689	0.201461
P38646	Q15653	0.75
P38646	O15111	0.75
P38646	Q13546	0.75
P38646	Q00653	0.75
P38646	Q92905	0.311133
Q9Y6K9	Q13114	0.75
Q9Y6K9	Q9BYH8	0.473922
Q9Y6K9	O14980	0.75
Q9Y6K9	P11142	0.75
Q9Y6K9	P62263	0.75
Q9Y6K9	Q04206	0.75
Q9Y6K9	O15111	0.75
Q9Y6K9	Q00653	0.75
Q9Y6K9	P78527	0.75
Q9Y6K9	P25963	0.75
Q9Y6K9	O00159	0.75
Q9Y6K9	P19438	0.75
Q9Y6K9	P17066	0.75
Q9Y6K9	P38646	0.75
Q9Y6K9	P23396	0.75
Q9Y6K9	Q9BYM8	0.75
Q9Y6K9	Q92793	0.75
Q9Y6K9	P19838	0.75
Q9Y6K9	P51617	0.75
Q9Y6K9	Q14164	0.75
Q9Y6K9	Q16543	0.75
Q9Y6K9	P33993	0.75
Q9Y6K9	P01106	0.75
Q9Y6K9	Q9GZS1	0.311133
Q9Y6K9	O14920	0.75
Q9Y6K9	P21580	0.75
Q9Y6K9	P05412	0.348804
Q9Y6K9	Q9Y6Q6	0.75
Q9Y6K9	Q15628	0.75
Q9Y6K9	Q15653	0.75
Q9Y6K9	Q99836	0.49229300000000004
Q9Y6K9	P06241	0.311133
O14980	P07910	0.311133
O14980	Q15750	0.311133
O14980	Q01201	0.311133
O14980	P62263	0.311133
O14980	Q04206	0.311133
O14980	O15111	0.311133
O14980	Q00653	0.311133
O14980	P01106	0.7457060000000001
O14980	P25963	0.311133
O14980	Q9NYJ8	0.311133
O14980	Q9UER7	0.311133
O14980	Q969G3	0.311133
O14980	P38646	0.28041900000000003
O14980	Q04864	0.311133
O14980	P23396	0.311133
O14980	P42224	0.311133
O14980	Q9Y6K9	0.75
O14980	P51617	0.311133
O14980	Q9Y230	0.311133
O14980	P26196	0.311133
O14980	Q13546	0.311133
O14980	Q12824	0.75
O14980	Q9BRK4	0.311133
O14980	P63279	0.201461
O14980	P03372	0.311133
O14980	P05412	0.41388500000000006
O14980	P19838	0.311133
O14980	P20333	0.75
O14980	Q15628	0.311133
O14980	P32121	0.311133
O14980	Q15653	0.311133
Q92905	P07910	0.311133
Q92905	Q12933	0.75
Q92905	P11142	0.311133
Q92905	P62263	0.311133
Q92905	P31689	0.311133
Q92905	O15111	0.75
Q92905	P40763	0.75
Q92905	P25205	0.311133
Q92905	P17066	0.7457060000000001
Q92905	Q93009	0.311133
Q92905	P20749	0.75
Q92905	P38646	0.311133
Q92905	P52597	0.311133
Q92905	P23396	0.311133
Q92905	P19838	0.641285
Q92905	P78527	0.311133
Q92905	P26196	0.311133
Q92905	P33993	0.311133
Q92905	Q15796	0.75
Q92905	P51532	0.311133
Q92905	P01106	0.473922
Q92905	Q12824	0.311133
Q92905	P63279	0.205936
Q92905	O14920	0.75
Q92905	P03372	0.311133
Q92905	Q92785	0.311133
Q92905	P05412	0.75
P06400	Q13547	0.75
P06400	P62993	0.75
P06400	P10275	0.75
P06400	Q92769	0.75
P06400	Q09472	0.75
P06400	P05412	0.75
P06400	P29590	0.75
P06400	P33993	0.75
P06400	P51532	0.75
P06400	P01106	0.28041900000000003
P06400	P63279	0.75
P06400	P40763	0.75
P06400	P43364	0.311133
P06400	Q93009	0.75
Q05397	P43405	0.75
Q05397	Q12933	0.75
Q05397	P19438	0.75
Q05397	P42224	0.75
Q05397	P62993	0.75
Q05397	P12931	0.75
Q05397	P27986	0.75
Q05397	Q13546	0.75
Q05397	P40763	0.75
Q05397	P06241	0.75
Q00653	Q13546	0.75
Q00653	O14920	0.75
Q00653	Q9BYH8	0.28041900000000003
Q00653	P25963	0.75
Q00653	P23396	0.75
Q00653	P07910	0.75
Q00653	P19438	0.75
Q00653	Q01201	0.75
Q00653	Q9Y6K9	0.75
Q00653	P17066	0.473922
Q00653	P19838	0.75
Q00653	P21580	0.311133
Q00653	P03372	0.38995799999999997
Q00653	P78527	0.75
Q00653	Q92785	0.49229300000000004
Q00653	O14980	0.311133
Q00653	Q13547	0.348804
Q00653	P11142	0.75
Q00653	Q14164	0.6795
Q00653	Q9Y230	0.473922
Q00653	P62263	0.75
Q00653	P78347	0.75
Q00653	Q04864	0.75
Q00653	P38646	0.75
Q00653	Q04206	0.75
Q00653	P31689	0.75
Q00653	Q15653	0.75
Q00653	Q13114	0.473922
Q00653	P51532	0.473922
Q00653	P40763	0.710749
Q00653	Q12933	0.75
Q9Y2S0	O15160	0.473922
Q9Y2S0	P43364	0.473922
Q9Y2S0	Q9H9Y6	0.473922
Q9Y2S0	O95602	0.473922
Q9Y2S0	P62263	0.473922
Q9Y2S0	Q9GZS1	0.473922
Q9Y2S0	P52434	0.473922
Q9Y2S0	Q15653	0.473922
P23396	Q9Y6K9	0.75
P23396	P62993	0.75
P23396	P62263	0.697741
P23396	P25963	0.75
P23396	Q12933	0.75
P23396	Q06187	0.75
P23396	P19438	0.75
P23396	P03372	0.311133
P23396	O75530	0.710749
P23396	P05412	0.41388500000000006
P23396	O14980	0.311133
P23396	P19838	0.75
P23396	P20333	0.75
P23396	Q15628	0.75
P23396	P32121	0.710749
P23396	Q04206	0.75
P23396	Q00653	0.75
P23396	Q92905	0.311133
O95602	Q9Y2S0	0.473922
