#tail	head	num_paths
Q9UP38	O14641	3
O14641	P25054	13
Q9UP38	Q08379	2
Q08379	P48681	1
P48681	Q9P2D1	1
Q9UP38	P78352	1
P78352	P42858	3
P42858	Q13363	4
Q9UP38	O14640	5
O14640	P35222	28
Q9UP38	O75581	1
O75581	P98082	7
O14641	Q9NYF0	8
Q9NYF0	Q9UJU2	8
Q08379	Q13526	1
Q13526	Q13469	3
Q9UP38	Q07954	2
Q07954	Q13387	3
Q13387	P45983	3
P45983	Q02962	8
Q07954	P00533	4
P00533	P37231	4
O14640	Q15797	9
P35222	O00570	14
P35222	P15923	8
O14641	P04637	7
P04637	P15884	7
P35222	Q9NQB0	6
Q9ULW2	O14641	7
O14641	P40337	5
P40337	Q92922	2
Q92922	Q9P2D1	3
P25054	Q13363	5
Q9ULW2	O14640	5
Q9ULW2	O75581	2
O75581	Q5S007	4
Q5S007	P27348	4
P27348	Q13469	5
P40337	Q02363	3
Q02363	Q02962	3
O14641	Q96EB6	4
Q96EB6	P37231	6
Q14332	O14641	4
Q14332	P78352	3
P78352	P62993	1
P62993	Q92922	1
Q14332	O14640	5
Q14332	O75581	2
P78352	P05067	1
P05067	P45983	2
Q9NPG1	O14641	4
Q9NPG1	Q92997	3
Q92997	Q96KM6	2
Q96KM6	Q86U86	2
Q86U86	Q9P2D1	2
Q9NPG1	O14640	5
Q92997	P98082	2
Q9NPG1	P27986	2
P27986	P42229	1
P42229	Q13469	2
P27986	P45983	1
Q92997	Q96EB6	2
Q13467	O14641	7
Q13467	O14640	5
Q13467	O75581	2
O75084	O14641	3
O75084	Q9UMX0	5
Q9UMX0	O43242	1
O43242	Q13573	1
Q13573	Q9P2D1	3
O75084	P78352	1
O75084	O14640	3
O75084	O75581	1
O75084	Q9NRR5	1
Q9NRR5	Q13526	1
Q9UMX0	P05067	1
Q9UMX0	P55036	1
P55036	P15923	2
Q9UMX0	P49768	2
P49768	P15884	1
P49768	Q9NQB0	1
Q9H461	O14641	5
Q9H461	Q92997	4
Q9H461	O14640	4
Q92997	O95251	1
O95251	P05412	1
P05412	Q13469	1
Q9H461	Q2MKA7	1
Q2MKA7	Q68DV7	1
Q68DV7	Q9NQB0	1
O00144	O14641	4
O00144	Q99750	5
Q99750	P15173	1
P15173	P51532	1
P51532	Q9P2D1	1
O00144	O14640	4
O00144	O75581	1
Q99750	Q13526	2
Q99750	Q9BXC9	1
Q9BXC9	Q02962	1
Q13526	P37231	1
Q99750	P13349	1
P13349	P15923	1
Q07954	P07900	6
P07900	P63104	1
P63104	P25054	1
P07900	Q13573	1
P45983	Q13363	1
P00533	P35222	4
Q07954	P98082	1
Q07954	O00213	2
O00213	P46531	1
P46531	Q9UJU2	1
P07900	P48729	1
P48729	Q13469	1
O00213	P05067	1
P05067	Q15797	1
P07900	Q13309	1
Q13309	P15923	2
P07900	P10275	2
P10275	P15884	2
P10275	Q9NQB0	2
O75197	O15169	1
O15169	P25054	1
O75197	O15198	5
O15198	Q9UBL3	2
Q9UBL3	Q9P2D1	1
O15198	O60341	1
O60341	Q13363	1
O75197	P19022	6
P19022	P35222	8
O75197	O14641	1
O14641	P98082	1
P19022	P14923	4
P14923	Q9UJU2	2
O15198	P27348	1
Q9UBL3	Q6ZW49	1
Q6ZW49	Q02962	1
O15198	P61968	1
P61968	P37231	1
O75197	O14640	1
P35222	P15884	2
P14923	Q9NQB0	2
O75581	P49841	3
P49841	P25054	1
O75581	Q03135	2
Q03135	P37231	2
P37231	Q9P2D1	2
P49841	P20749	1
P20749	Q13363	1
O75581	P19022	6
O75581	Q9NQ11	1
Q9NQ11	P11142	1
P11142	P45983	1
P49841	Q15797	1
Q01973	P19474	1
P19474	P25054	1
Q01973	P00533	12
P00533	P42858	1
Q01973	P12931	1
P12931	P98082	1
P00533	P42229	2
P42229	Q9UJU2	1
P00533	P45983	1
P00533	P68366	1
P68366	Q15797	1
P00533	P55036	1
P00533	P10275	2
Q01974	Q9Y5V3	4
Q9Y5V3	Q9UQE7	1
Q9UQE7	P25054	1
Q01974	O43318	3
O43318	Q9UBE8	1
Q9UBE8	Q9P2D1	1
Q01974	Q9Y6K9	6
Q9Y6K9	Q92793	2
Q92793	Q13363	1
Q9Y5V3	P53350	2
P53350	P35222	2
O43318	P98082	1
Q9Y6K9	Q8N2W9	2
Q8N2W9	Q9UJU2	1
Q9Y6K9	Q04206	1
Q04206	Q13469	1
O43318	P45983	1
Q9Y6K9	O95257	1
O95257	P37231	1
Q9Y5V3	P22670	1
P22670	Q15797	1
Q92793	P15923	1
Q8N2W9	P15884	1
Q01974	Q15038	1
Q15038	Q9NQB0	1
P34925	P13569	8
P13569	O14980	1
O14980	P25054	1
P34925	Q15717	5
Q15717	Q13573	1
P13569	P20823	1
P20823	P41182	1
P41182	Q13363	1
P13569	P62979	2
P62979	P35222	2
P13569	P98082	1
Q15717	Q15796	1
Q15796	Q9UJU2	1
Q15717	P01375	1
P01375	Q13469	1
P34925	P04628	1
P04628	Q02962	1
P13569	O95425	1
O95425	P37231	1
P13569	Q9UNE7	1
Q9UNE7	Q15797	1
Q15717	Q13309	1
P13569	Q9HD26	1
Q9HD26	P15884	1
Q15717	Q9NQB0	1
